claim,description,date,rating,url
Imagen de supuesto triunfo de Edmundo González con 65%,En redes sociales movieron esta encuesta a boca de urna como si se tratara de los resultados de las elecciones.,29/07/2024,Cuestionable,https://colombiacheck.com/chequeos/estos-supuestos-resultados-de-elecciones-en-venezuela-son-de-una-exit-poll-publicada-por
La UE le envió un ultimátum a Gustavo Petro,Otros parlamentarios que participaron en la misma plenaria manifestaron su apoyo a las políticas del presidente de Colombia.,07/10/2025,Cuestionable,https://colombiacheck.com/chequeos/otra-intervencion-de-un-eurodiputado-de-ultraderecha-pasa-por-ultimatum-de-europa-petro
Jota Pe Hernández fue rechazado de consulta interna del Centro Democrático,El senador de Alianza Verde no podría participar en una elección interna de ese otro partido que tampoco planea escoger su candidatura presidencial en las urnas.,26/08/2025,Falso,https://colombiacheck.com/chequeos/veto-jota-pe-hernandez-falsamente-atribuido-al-centro-democratico-alude-consulta
Álvaro Uribe expidió Ley 970 que hoy en día afecta a semillas de campesinos,Una imagen presenta de forma inexacta información sobre la norma cuestionada por afectar a campesinos dando a entender que se trata de una ley vigente.,27/09/2024,Cuestionable,https://colombiacheck.com/chequeos/la-ley-970-sobre-semillas-decretada-por-uribe-era-una-resolucion-de-su-gobierno-derogada
Donald Trump dijo que trabajará con Nicolás Maduro como presidente de Ven,No hay evidencia de que el presidente electo de Estados Unidos haya realizado dichas declaraciones. Fue una opinión personal del senador republicano Bernie Moreno.,09/01/2025,Falso,https://colombiacheck.com/chequeos/trump-no-ha-dicho-que-trabajara-con-maduro-por-ser-el-presidente-que-se-posesiona-en
"Marco Rubiom secretario de Estado, pidió extradición de Maduro",En redes anuncian la solicitud como si fuera reciente ahora que el senador estadounidense es postulado a secretario de Estado de Trump con un video viejo y que tampoco tiene relación.,26/12/2024,Cuestionable,https://colombiacheck.com/chequeos/marco-rubio-si-pidio-extradicion-de-maduro-pero-en-2022
Trump presentó ley para instalar chip neuralink en cerebro de bebés,En páginas oficiales del país norteamericano no existe evidencia de un proyecto de ley que permita instalar chips en niños nacidos en Estados Unidos. Tampoco hay registros de que se haya anunciado.,22/03/2025,Falso,https://colombiacheck.com/chequeos/no-existe-proyecto-de-ley-en-estados-unidos-para-instalar-chip-neuralink-recien-nacidos-ni
El video que Maria Fernanda Cabal para que no salga en redes que ridícula,El clip original es una sátira con una candidata ficticia mexicana. El que circula con la senadora fue manipulado posiblemente con inteligencia artificial.,12/07/2024,Falso,https://colombiacheck.com/chequeos/video-de-maria-fernanda-cabal-cantando-parodia-politica-de-telepatia-es-un-montaje
Andrés Pastrana y Juan M. Santos hace parte de la junta directiva de TGS,El impreciso organigrama resurgió por una mención sin pruebas del presidente a una “promesa” de la empresa de asegurarle la Presidencia al candidato opositor.,16/04/2026,Cuestionable,https://colombiacheck.com/chequeos/mensaje-infundado-de-petro-contra-thomas-greg-y-de-la-espriella-revive-desinformacion
Victoria del Tigre: recuperó 9 menores y 41 disidentes se entregaron,La misma institución aclaró que los 41 disidentes sometidos y los 9 menores recuperados son el resultado de ocho meses de operaciones militares un periodo cuya mayor parte corresponde al gobierno Petro.,18/09/2026,Cuestionable,https://colombiacheck.com/chequeos/cifras-del-ejercito-en-el-canon-del-micay-corresponden-todo-2026-no-solo-al-inicio-del
